id,species_searched,species,longitude,latitude,source,date,key,temporal_filter,precision_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary
98,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.842166,-18.065883,gbif,2024,4868175305,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
99,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.567933,-20.399844,gbif,2024,4903883522,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
100,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-50.008074,-29.043719,gbif,2024,4921904731,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.871793,-18.140805,gbif,2024,4902090380,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-45.602089,-14.784919,gbif,2024,4903740128,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
103,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-60.682902,-28.677327,gbif,2024,4909035191,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-60.790031,-28.789879,gbif,2024,4908109131,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
105,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-43.536108,-19.349848,gbif,2024,4908880571,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
106,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-44.443854,-19.399516,gbif,2024,4919730594,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
107,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.862549,-18.062052,gbif,2024,4919566140,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
108,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.42865,-20.282854,gbif,2024,4919461262,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
109,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.957041,-18.328152,gbif,2024,4921806542,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
110,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.634819,-20.025689,gbif,2024,4924059088,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
111,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.81295,-18.126725,gbif,2024,4923685831,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
